"Step","treasured-sky-346 - sim. loss","treasured-sky-346 - sim. loss__MIN","treasured-sky-346 - sim. loss__MAX","northern-elevator-345 - sim. loss","northern-elevator-345 - sim. loss__MIN","northern-elevator-345 - sim. loss__MAX","decent-resonance-296 - sim. loss","decent-resonance-296 - sim. loss__MIN","decent-resonance-296 - sim. loss__MAX","curious-tree-293 - sim. loss","curious-tree-293 - sim. loss__MIN","curious-tree-293 - sim. loss__MAX","bright-planet-276 - sim. loss","bright-planet-276 - sim. loss__MIN","bright-planet-276 - sim. loss__MAX"
"2","1.3993136001338948","1.3993136001338948","1.3993136001338948","1.3606128437143041","1.3606128437143041","1.3606128437143041","1.036501232006373","1.036501232006373","1.036501232006373","0.5313161560904839","0.5313161560904839","0.5313161560904839","1.4119503914583442","1.4119503914583442","1.4119503914583442"
"6","1.370642348492623","1.370642348492623","1.370642348492623","1.3500231086240428","1.3500231086240428","1.3500231086240428","0.7543529858053125","0.7543529858053125","0.7543529858053125","0.2901085743183452","0.2901085743183452","0.2901085743183452","","",""
"8","","","","","","","","","","","","","1.3796825385757885","1.3796825385757885","1.3796825385757885"
"10","1.3676425192982944","1.3676425192982944","1.3676425192982944","1.3481668498284907","1.3481668498284907","1.3481668498284907","0.714929551521178","0.714929551521178","0.714929551521178","0.259072922204261","0.259072922204261","0.259072922204261","","",""
"14","1.366155832296738","1.366155832296738","1.366155832296738","1.347233388903138","1.347233388903138","1.347233388903138","0.707259105155785","0.707259105155785","0.707259105155785","0.24383492148298222","0.24383492148298222","0.24383492148298222","1.3741988170928756","1.3741988170928756","1.3741988170928756"
"18","1.364105656890072","1.364105656890072","1.364105656890072","1.3462020505531302","1.3462020505531302","1.3462020505531302","0.7050505971575729","0.7050505971575729","0.7050505971575729","0.23695725703114826","0.23695725703114826","0.23695725703114826","","",""
"20","","","","","","","","","","","","","1.3710172980660555","1.3710172980660555","1.3710172980660555"
"22","0.718375735240002","0.718375735240002","0.718375735240002","1.1696038971679488","1.1696038971679488","1.1696038971679488","0.6988304012580272","0.6988304012580272","0.6988304012580272","0.23107252193842295","0.23107252193842295","0.23107252193842295","","",""
"26","0.5279415758522319","0.5279415758522319","0.5279415758522319","0.5808390008004268","0.5808390008004268","0.5808390008004268","0.6983938233367141","0.6983938233367141","0.6983938233367141","0.22437301927288972","0.22437301927288972","0.22437301927288972","1.3691665545425924","1.3691665545425924","1.3691665545425924"
"30","0.5088962102033202","0.5088962102033202","0.5088962102033202","0.561157764604178","0.561157764604178","0.561157764604178","0.6965411579144692","0.6965411579144692","0.6965411579144692","0.22540993234078727","0.22540993234078727","0.22540993234078727","","",""
"32","","","","","","","","","","","","","1.3680706476653237","1.3680706476653237","1.3680706476653237"
"34","0.5094494082107145","0.5094494082107145","0.5094494082107145","0.5524155896651561","0.5524155896651561","0.5524155896651561","0.6967873384985829","0.6967873384985829","0.6967873384985829","0.21951191214368365","0.21951191214368365","0.21951191214368365","","",""
