"Step","hearty-armadillo-352 - sim. loss","hearty-armadillo-352 - sim. loss__MIN","hearty-armadillo-352 - sim. loss__MAX","stilted-sun-351 - sim. loss","stilted-sun-351 - sim. loss__MIN","stilted-sun-351 - sim. loss__MAX","wise-music-350 - sim. loss","wise-music-350 - sim. loss__MIN","wise-music-350 - sim. loss__MAX","ethereal-pond-349 - sim. loss","ethereal-pond-349 - sim. loss__MIN","ethereal-pond-349 - sim. loss__MAX","northern-elevator-345 - sim. loss","northern-elevator-345 - sim. loss__MIN","northern-elevator-345 - sim. loss__MAX"
"2","1.3664300403047294","1.3664300403047294","1.3664300403047294","1.3573005956954576","1.3573005956954576","1.3573005956954576","1.4923693709109558","1.4923693709109558","1.4923693709109558","1.3656422310926197","1.3656422310926197","1.3656422310926197","1.3606128437143041","1.3606128437143041","1.3606128437143041"
"6","1.3628889892282856","1.3628889892282856","1.3628889892282856","1.3422832568387315","1.3422832568387315","1.3422832568387315","1.4906033800385468","1.4906033800385468","1.4906033800385468","1.3497843118047297","1.3497843118047297","1.3497843118047297","1.3500231086240428","1.3500231086240428","1.3500231086240428"
"10","1.3676909774331019","1.3676909774331019","1.3676909774331019","1.3353699987945684","1.3353699987945684","1.3353699987945684","1.4901398970492423","1.4901398970492423","1.4901398970492423","1.3478375815422496","1.3478375815422496","1.3478375815422496","1.3481668498284907","1.3481668498284907","1.3481668498284907"
"14","1.3592136324915447","1.3592136324915447","1.3592136324915447","0.6585599200159026","0.6585599200159026","0.6585599200159026","1.4899580042609264","1.4899580042609264","1.4899580042609264","1.3468047460441137","1.3468047460441137","1.3468047460441137","1.347233388903138","1.347233388903138","1.347233388903138"
"18","1.346010990704391","1.346010990704391","1.346010990704391","0.5688149164951299","0.5688149164951299","0.5688149164951299","1.4898663537481454","1.4898663537481454","1.4898663537481454","1.345687308821934","1.345687308821934","1.345687308821934","1.3462020505531302","1.3462020505531302","1.3462020505531302"
"22","1.3439288184487022","1.3439288184487022","1.3439288184487022","0.5591219420290172","0.5591219420290172","0.5591219420290172","1.4898329234549863","1.4898329234549863","1.4898329234549863","1.3454930299007044","1.3454930299007044","1.3454930299007044","1.1696038971679488","1.1696038971679488","1.1696038971679488"
"26","1.346256243056473","1.346256243056473","1.346256243056473","0.5574587634638652","0.5574587634638652","0.5574587634638652","1.4897429598801541","1.4897429598801541","1.4897429598801541","0.9291049557436867","0.9291049557436867","0.9291049557436867","0.5808390008004268","0.5808390008004268","0.5808390008004268"
"30","1.36708248926608","1.36708248926608","1.36708248926608","0.549558896287699","0.549558896287699","0.549558896287699","1.4898176944310397","1.4898176944310397","1.4898176944310397","0.5665842480631952","0.5665842480631952","0.5665842480631952","0.561157764604178","0.561157764604178","0.561157764604178"
"34","1.3659730854006642","1.3659730854006642","1.3659730854006642","0.5472290094351203","0.5472290094351203","0.5472290094351203","1.4898986304446256","1.4898986304446256","1.4898986304446256","0.55260509373469","0.55260509373469","0.55260509373469","0.5524155896651561","0.5524155896651561","0.5524155896651561"
"38","1.365247483358649","1.365247483358649","1.365247483358649","0.5443698286985389","0.5443698286985389","0.5443698286985389","1.4898737955232288","1.4898737955232288","1.4898737955232288","0.5532323650076297","0.5532323650076297","0.5532323650076297","0.5491380766561217","0.5491380766561217","0.5491380766561217"
"42","1.3647525725739726","1.3647525725739726","1.3647525725739726","0.5395428237818799","0.5395428237818799","0.5395428237818799","1.4904889796011358","1.4904889796011358","1.4904889796011358","0.5455805969409431","0.5455805969409431","0.5455805969409431","0.5466859146078279","0.5466859146078279","0.5466859146078279"
"46","1.3645760000024891","1.3645760000024891","1.3645760000024891","0.540038547625504","0.540038547625504","0.540038547625504","1.4902387463049347","1.4902387463049347","1.4902387463049347","0.5440154101946083","0.5440154101946083","0.5440154101946083","0.5469428627157628","0.5469428627157628","0.5469428627157628"
"50","1.3644814607355924","1.3644814607355924","1.3644814607355924","0.5353285496774635","0.5353285496774635","0.5353285496774635","1.4904295960615637","1.4904295960615637","1.4904295960615637","0.5456619368547506","0.5456619368547506","0.5456619368547506","0.5416832812691648","0.5416832812691648","0.5416832812691648"
"54","1.3644047873842682","1.3644047873842682","1.3644047873842682","0.5328598297540218","0.5328598297540218","0.5328598297540218","1.4907851689466078","1.4907851689466078","1.4907851689466078","0.5399217103397503","0.5399217103397503","0.5399217103397503","0.5367781811711989","0.5367781811711989","0.5367781811711989"
"58","1.3493669637778476","1.3493669637778476","1.3493669637778476","0.5308968156290907","0.5308968156290907","0.5308968156290907","1.4900364102396526","1.4900364102396526","1.4900364102396526","0.5417696281746681","0.5417696281746681","0.5417696281746681","0.5367394553910579","0.5367394553910579","0.5367394553910579"
"62","1.0237261558938313","1.0237261558938313","1.0237261558938313","0.5313768002746803","0.5313768002746803","0.5313768002746803","1.4899403118263719","1.4899403118263719","1.4899403118263719","0.5361671215120921","0.5361671215120921","0.5361671215120921","0.5366941622481265","0.5366941622481265","0.5366941622481265"
"66","0.6498208168988618","0.6498208168988618","0.6498208168988618","0.5278915360948219","0.5278915360948219","0.5278915360948219","1.4899532883751656","1.4899532883751656","1.4899532883751656","0.5345131626327089","0.5345131626327089","0.5345131626327089","0.536770500568266","0.536770500568266","0.536770500568266"
"70","0.5967093147538971","0.5967093147538971","0.5967093147538971","0.5275295857112208","0.5275295857112208","0.5275295857112208","1.4900140550004608","1.4900140550004608","1.4900140550004608","0.5350659647758832","0.5350659647758832","0.5350659647758832","0.5329640522332575","0.5329640522332575","0.5329640522332575"
